speed,route_id,trip_direction,observationdatetime,license_plate,trip_delay,last_stop_id,actual_trip_start_time,last_stop_arrival_time,vehicle_label,trip_id,id,location.type,location.coordinates
49.0,17AU,UP,2022-12-01 00:38:19+00:00,GJ05CU5646,130.0,6003,2022-12-01 00:30:29+00:00,06:05:54,E054,20425457,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,Point,"(72.920909,21.247173)"
17.0,21D,DN,2022-12-01 03:00:29+00:00,GJ05CU7048,323.0,2071,2022-12-01 02:51:44+00:00,08:29:09,E101,20425451,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,Point,"(72.871538,21.168367)"
40.0,13U,UP,2022-12-01 03:04:47+00:00,GJ05CU2195,117.0,6011,2022-12-01 01:41:52+00:00,,E028,20426265,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,Point,"(72.902442,21.1866)"
8.0,21D,DN,2022-12-01 02:49:44+00:00,GJ05CU7411,796.0,1001,2022-12-01 02:19:24+00:00,08:15:09,E119,20425391,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,Point,"(72.840129,21.204208)"
0.0,112D,DN,2022-12-01 02:51:19+00:00,GJ05BX2135,132.0,4259,2022-12-01 02:41:06+00:00,,C101,20427100,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,Point,"(72.838323,21.254513)"
25.0,12D,DN,2022-12-01 02:56:53+00:00,GJ05BV2776,116.0,4008,2022-12-01 02:36:35+00:00,08:25:33,P33,20432866,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,Point,"(72.761011,21.146013)"
15.0,14U,UP,2022-12-01 02:53:38+00:00,GJ05BX8849,73.0,2018,2022-12-01 02:07:35+00:00,08:23:04,H30,20430847,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,Point,"(72.830735,21.230832)"
9.0,206U,UP,2022-12-01 02:38:58+00:00,GJ05BX2796,886.0,1103,2022-12-01 01:09:52+00:00,,C076,20427197,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,Point,"(72.832895,21.220625)"
0.0,506U,UP,2022-12-01 01:44:00+00:00,GJ05BX3508,449.0,4450,2022-12-01 01:26:03+00:00,,M60,20427737,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,Point,"(72.878811,21.1588)"
4.0,21D,DN,2022-12-01 02:40:51+00:00,GJ05CU2452,1035.0,2006,2022-12-01 01:58:06+00:00,08:09:41,E036,20425208,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,Point,"(72.799569,21.20445)"
0.0,136D,DN,2022-12-01 03:03:43+00:00,GJ05BX2218,141.0,6690,2022-12-01 02:47:22+00:00,,A27,20428969,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,Point,"(72.741295,21.120968)"
0.0,13U,UP,2022-12-01 01:41:28+00:00,GJ05BZ3538,779.0,2012,2022-12-01 01:33:48+00:00,,H371,20426274,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,Point,"(72.78931,21.22395)"
49.0,13U,UP,2022-12-01 01:24:56+00:00,GJ05CU5516,34.0,2032,2022-12-01 00:53:41+00:00,06:53:56,E050,20426247,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,Point,"(72.868574,21.196598)"
48.0,21U,UP,2022-12-01 01:56:00+00:00,GJ05CU5520,1193.0,2069,2022-12-01 01:14:40+00:00,07:25:00,E063,20425257,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,Point,"(72.865836,21.151722)"
34.0,11D,DN,2022-12-01 02:16:33+00:00,GJ05BX2498,262.0,2042,2022-12-01 02:04:31+00:00,,A50,20425789,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,Point,"(72.845568,21.152489)"
26.0,104D,DN,2022-12-01 02:12:58+00:00,GJ05BX3022,346.0,2452,2022-12-01 01:53:42+00:00,,M02,20428468,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,Point,"(72.850542,21.164992)"
43.0,19U,UP,2022-12-01 02:42:58+00:00,GJ05BX1729,237.0,6011,2022-12-01 01:20:35+00:00,07:06:37,A04,20427282,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,Point,"(72.916273,21.183212)"
0.0,302U,UP,2022-12-01 00:51:46+00:00,GJ05BZ3615,86.0,2041,2022-12-01 00:50:02+00:00,,H359,20432034,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,Point,"(72.833425,21.178868)"
39.0,117U,UP,2022-12-01 01:20:02+00:00,GJ05BX2966,62.0,1021,2022-12-01 01:08:05+00:00,06:47:58,C141,20432436,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,Point,"(72.806045,21.190706)"
44.0,21D,DN,2022-12-01 01:29:09+00:00,GJ05CU7094,343.0,1002,2022-12-01 01:07:39+00:00,06:58:34,E106,20425303,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,Point,"(72.83991,21.201638)"
12.0,112D,DN,2022-12-01 02:29:50+00:00,GJ05BX3305,980.0,4237,2022-12-01 02:24:19+00:00,,C171,20427103,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,Point,"(72.845633,21.255415)"
